Operation;Number of Rows;Migration Duration;Requests Before Migration;Duration Average Before Migration;Requests During Migration;Duration Average During Migration;Requests After Migration;Duration Average After Migration
A18;10000;0.183704;22;2.583772727272727;0;0;20;3.1693000000000002
A2;10000;0.20726;22;2.663181818181818;0;0;20;2.7422500000000003
A12;10000;0.162968;22;2.5723181818181815;0;0;20;2.48985
A21;10000;0.18017;22;2.5014999999999996;0;0;20;2.6506499999999997
A1;10000;0.158708;22;2.6472272727272728;0;0;20;2.7122
A6;10000;0.163714;22;2.6313181818181817;0;0;20;2.4791000000000003
A8;10000;0.162826;22;3.6410454545454543;0;0;20;2.3228
A13;10000;0.171814;22;2.4953181818181815;0;0;20;2.6557
A20;10000;0.159729;22;3.095818181818182;0;0;20;2.64935
A7;10000;0.172494;22;2.698909090909091;0;0;20;2.58475
A4;10000;0.174547;22;2.652272727272727;0;0;20;2.699649999999999
A24;10000;0.174697;22;2.6933181818181815;0;0;20;2.6926
A16;10000;0.194842;22;3.107818181818182;0;0;20;2.7203500000000007
A5;10000;0.171898;22;2.7140909090909093;0;0;20;2.6225
A18;100000;0.554151;22;2.717227272727273;1;293.852;19;2.824052631578948
A2;100000;0.385808;22;3.0803181818181824;1;102.773;19;2.88121052631579
A12;100000;0.207668;22;2.546409090909091;0;0;20;2.5987500000000003
A21;100000;0.169285;22;2.3949999999999996;0;0;20;2.44085
A1;100000;0.178352;22;4.963272727272727;0;0;20;2.64745
A6;100000;0.16441;22;2.610363636363637;0;0;20;2.4514499999999995
A8;100000;0.169451;22;2.6075;0;0;20;2.5824499999999997
A13;100000;0.179379;22;2.5986818181818183;0;0;20;3.2653999999999996
A20;100000;0.181807;22;2.503318181818182;0;0;20;2.78035
A7;100000;0.151888;22;2.5818181818181825;0;0;20;2.5556999999999994
A4;100000;0.15789;22;2.4750000000000005;0;0;20;2.4541500000000003
A24;100000;0.159856;22;2.452090909090909;0;0;20;2.7145499999999996
A16;100000;0.202528;22;2.4087272727272726;0;0;20;2.539
A5;100000;0.164232;22;2.6179545454545456;0;0;20;2.4748499999999996
A18;1000000;5.064325;22;2.6025909090909094;1;4788.79;19;2.7333157894736844
A2;1000000;2.002637;22;2.604909090909091;1;1678.5339999999999;19;2.5817368421052636
A12;1000000;0.542971;22;2.6707272727272726;1;288.892;19;3.82121052631579
A21;1000000;0.17015;22;2.5038181818181826;0;0;20;2.6083
A1;1000000;0.176061;22;2.5850909090909093;0;0;20;2.7664
A6;1000000;0.188248;22;2.7284090909090906;0;0;20;2.5745999999999998
A8;1000000;0.162068;22;2.5838636363636365;0;0;20;2.70005
A13;1000000;0.163901;22;2.598909090909091;0;0;20;2.49045
A20;1000000;0.178728;22;2.6426363636363637;0;0;20;2.7076000000000002
A7;1000000;0.156824;22;2.569727272727272;0;0;20;2.3781000000000003
A4;1000000;0.19176;22;2.4618636363636366;0;0;20;2.61525
A24;1000000;0.162629;22;2.5625454545454542;0;0;20;2.49935
A16;1000000;0.363283;22;2.671954545454545;1;95.451;19;2.542368421052631
A5;1000000;0.178287;22;2.5551363636363638;0;0;20;2.77595
